title,url,description
The Art of Command Line,https://github.com/jlevy/the-art-of-command-line,"A wonderful summary from Joshua Levy regarding command line (Bash in particular) tools, programs, tips and tricks; contains many pointers to resources and repositories, in the form of ""to do this you must know that"", which gives great pointers but requires further investigation from different sources; translated in many languages."
Inconsolation blog,https://inconsolation.wordpress.com/,"""Adventures with lightweight and minimalist software for Linux"": reviews of many command-line programs; many programs reviewed (400+, at least), with screenshots and animated GIFs; the style of presentation is ironic and funny, but requires some effort to figure out the real contribution of a program."
A little collection of cool unix terminal/console/curses tools,https://kkovacs.eu/cool-but-obscure-unix-tools,"""Some are little-known, some are just too useful to miss, some are pure obscure..."" from Kristof Kovacs; nice list with screenshot; mostly oriented to system administration; unfortunately there are no clickable links."
Caleb Xu shell awesome,https://github.com/alebcay/awesome-shell,Focused on UNIX shell tools.
Adam Harris awesome CLI apps,https://github.com/aharris88/awesome-cli-apps,Nice list of tools; somehow too much Javascript/Node.js-centered for my tastes.
Marcel Bischoff awesome commandd line apps,https://github.com/herrbischoff/awesome-command-line-apps,Nice up-to-date list of useful tools.
Awesome CLI by sintaxi,https://github.com/sintaxi/awesome-cli,Relatively short list with short descriptions; with some original entries.
awesome-ttygames,https://ligurio.github.io/awesome-ttygames/,Large awesome list of terminal games. The collection is maintained in a YAML format. Each item contains a description and an optional screencast.
Site Generators,https://jamstack.org/generators/,A comprehensive list of Static Site Generators.
Awesome git addons,https://github.com/stevemao/awesome-git-addons,A curated list of add-ons that extend/enhance the git CLI.
